comments	status
uneasy bad movie but not scared  	0
dialogue composed things  make little sense  	0
About 30 minutes footage wasted show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough make teen Goth blush almost always Olde English sometimes Latin  may or may not made words  	0
directing sloppy best  	0
Hackneyed writing certainly but made even worse by bad directing  	0
Of course acting blah  	0
acting by whole cast could put scale balanced perfectly between overacting underacting  	0
And FINALLY after  get ending  would've been great been handled by competent people not Jerry Falwell  	0
loved movie great portrayal family share ups down but end they knew  special love they other  	1
seen many movies starring Jaclyn Smith but god her best though came 12 years ago  	1
movie contained all-star cast what loved  opened eyes see other actors haven't seen before  	1
movie kind long length but enjoyed every minute it  	1
Overall rate movie 10 1-10 scale  	1
Lifetime does not air enough so if anyone knows what store sells let know because must-have  	1
particularly remember senses being assaulted by strident cords music  would blare little warning even less meaning  	0
just sort pap  screened afternoon punish unemployed not having jobs  	0
Totally different loads understatement black comedy film few get see but those do will remember it  	1
movie creates its own universe fascinating every way  	1
But movie really got 	1
See it  	1
really hope team behind movie makes more movies  they will continue do so their own some kinda weird style  	1
And forgot: Casting here superb Trond Fausa Aurvåg being perfect role Bothersome Man doesn't understand where what doing why  	1
movie good humorous comment life 2006  	1
found move beautiful enjoyable uplifting  	1
Initially local sites film which filmed here Buffalo intrigued 	1
Later found myself lost power film  	1
entire audience applauded conclusion film  	1
left theater lilt step joy heart hope human race  	1
Duris wholesome appearance gives fine performance  	1
rest cast also play well  	1
Cinematography noteworthy including fine views Barcelona its famed Gaudi towers  	1
About ten minutes film started having second thoughts  	0
About half way through film started dislike it  	0
By time film ended not only disliked it despised it  	0
What film lacks convincing script  	0
script looks if only rough draft written shooting began before finished script completed  	0
Things happen characters personalities change plot twists occur no real reason other  script calls it  	0
cast good  	1
For  worth checking  	1
probably irritating show ever seen entire life  	0
indescribably annoying idiotic show ever seen  	0
Everything just bad  	0
could not understand what kind idiot would produce mess first place not mention several season  	0
script bad bad  contains both cheesiness unethical joke  normally see rated R or NC-17 movie  	0
casting also horrible cause see really really BAD Actors period  	0
Final Word: Show real torture    	0
zillion times away from reality  	0
Watching washing machine twirling around wouldn't hurt your eyes much show  	0
Rating: 0 10 (Grade: Z) Note: Show So Bad That Even Mother Cast Pull Her Daughter Show  	0
20th Century Fox's ROAD HOUSE 1948) not only quite silly noir but implausible unmitigated bore movie  	0
Full unconvincing cardboard characters blandly written by Edward Chodorov also produced surprisingly directed by Jean Negulesco from whom would expect great deal more  	0
From here Widmark character turns unintentionally comical   	0
His losing his marbles so early proceedings totally implausible unconvincing  	0
And if  isn't enough mess movie picture also marred constant use studio sets indoor exteriors  	0
Whatever prompted such documentary beyond  	0
(very serious spoilers) movie huge disappointment  	0
there so many problems dont know where start  	0
the cast great  	1
steve martin delivers really funny performance middle-aged upper class uptight white guy  	1
add betty white jean smart great cast everyone played their parts really well  	1
but movie makes lot serious mistakes  	0
first enough racial stereotypes racial jokes offend everyone  	0
the movie littered overt racial slurs towards black cast members return whites depicted morons boobs  	0
putting race card aside lets look major flaw film: they destroy latifa's character  	0
there no real plot  	0
wouldnt see movie again free  	0
STEAMBOAT WILLIE amazingly important film our cinema history  	1
second appearance Mickey Mouse (following silent PLANE CRAZY earlier  year) probably his famous film--mostly because so ground-breaking  	1
While don't yet hear Mickey speak tons sound effects music throughout film--something take granted now but which huge crowd pleaser 1928  	1
However after seeing short again after 25 years amazed timeless film actually  	1
just adorable seeing Mickey playing Turkey Strawin highly imaginative (if occasionally cruel) way  	1
Clever real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years  	1
bipolarity ruthless thug (one minute ruthless killer next minute Luv's diaper commercial) completely unconvincing  	0
I'm terribly disappointed  film would receive so many awards accolades especially far more deserving works film  	0
original Body Soul (1947) masterpiece  	1
John Garfield Ann revere Lilli Plmer William Conrad Canada Leeand filmed by greatest cinematographers ever grace screenJames Wong Howe  	1
don't think any redeeming qualities remake  	0
may only bad film ever made  	0
So badwellit's just bad  	0
movie solid example bad plot bad idea way  	0
shame see good actors like Thomerson James make living mess like  	0
thought bad  	0
Both films terrible but credit 1986 version watchable  	0
Let's start problemsthe acting especially from lead professor bad  	0
script big flawed mess  	0
best example dumb writing established  can turn zombie-students back humans by removing necklace containing piece meteorite  	0
Director Paul Matthews also wrote directed weak 1995 monster movie Grim clearly doesn't know pace his films  	0
movie terribly boring places  	0
lighting awful  	0
film looks cheap bland  	0
One disappointing aspects lack notable gore  	0
convention never worked well past certainly doesn't work here  	0
visual effects were AWFUL  	0
CG opening sequence space looked like could been created Microsoft Slideshow God's sake   	0
explosionof Gas tanks end just awful  	0
Okay like consider myself fair critic so I'll give credit where credit's due--the creature effects were actually pretty cool  	1
Gotta love those close-ups slimy drooling teeth   	1
sum film Breedersis terrible cheaply made horror movie  should avoided like Ebola virus  	0
Not recommended  	0
He almost unbearable watch screen little no charisma terrible comedic timing  	0
Aside from terrible lead film loads other debits  	0
understand  supposed cheap popcorn comedy but  doesn't mean  completely insult our intelligence writing so incredibly hackneyed  borders offensive  	0
Lewis Black's considerable talent wasted here his incendiary unrestrained which PG-13 rating certainly won't allow  	0
film's sole bright spot Jonah Hill (who will look almost unrecognizable fans recent Superbad due amount weight lost interim)  	1
With originality freshness first movie now spent remake little else offer  	0
budget evidently limited  	0
was reflected not only cast but also below-par script which borrowed much from earlier classic  	0
However here no decent acting action or location work balance things  	0
Filmiing less expansive  	0
failed convey broad sweep landscapes  were great part original  	0
Generally; just lacked imagination  	0
Not recommended  	0
Is possible movie get any worse this?  	0
There no plot here keep going first place  	0
Even women finally show no sign improvement; expected things happen by time film over might far asleep  	0
Beware: not trashy cult movie trash -period   	0
can't believe there's even sequel   	0
Which precisely why am giving such bad review   	0
Being 90's child truly enjoyed show can proudly say  enjoyed big time even more classical WB cartoons  	1
But Tiny Toonskept 90's vibe delivered popular funny underrated cartoons ever created  	1
memories murky but can only say  enjoyed every single episode product related show  	1
Easily none other cartoon made laugh tender way (before getting dark sitcoms oriented teenagers)  	1
characters were funny peculiarity not having true lead character  	1
Every single character hilarious deserved called lead  	1
Every element story so over top excessively phony contrived  painful sit through  	0
Her lines seem been WRITTEN by fifteen year old though they trying oh so so hard sound like fifteen year old would really um know well talk  	0
Perabo nice energy level obviously comfortable front camera  	1
There simply no excuse something poorly done  	0
saw movie thought stupid movie  	0
What even more stupid  thought idea  should volcano Los Angeles?  	0
honest unbelievable nonsense foolish  	0
In conclusion will not bother movie because volcano Los Angeles nothing but nonsense  	0
story line just awful   	0
just painful   	0
And accents absolutely abysmal   	0
There's also enough hypocrisy film make vomit  	0
Don't waste your time watching rubbish non-researched film  	0
believe  Pitch Black done well  	1
characters interesting want find more them longer movie goes think people will surprised by does doesn't make it  	1
Go watch it   	1
Omit watching  	0
VERY funny   	1
My rating: just 3 10  	0
characters interesting really care them  	1
An instant classic great soundtrack catchy song during ending credits  	1
Don't miss it  	1
masterful piece film-making many themes simmering occasionally boiling over warts study poet's bohemian self-indulgent wartime years  span aerial bombardments London outward tranquillity Welsh coastal retreat borderlines between friendship lust love dedication art experience versus practical concerns jealousy rivalry cowardice egotism versus heroism self-sacrifice more  	1
A mature subtle script  suggests occasionally brings dramatic focus underlying tensions well served by perfect performances (apart from odd inappropriate smiling  Keira Knightley prone to though perhaps under direction time other characters themselves often mention it)  	1
But above exquisite visual composition moment inventive elegant use close-up camera angle lighting including pointillistic faux home movie footage wonder joy behold  	1
continuously beautiful look Bertolucci but relationships here more convincing narrative more engaging some  master's work  	1
basic premise wasted since sidelined by inexplicable focus documentary crew  	0
Regardless film fails levels  	0
Avoid costs  	0
saw film over Christmas what great film   	1
thought Errol Flynn brilliant Custer since become favourite actor   	1
His acting alongside Olivia De Havilland brilliant ending fantastic   	1
always known  Errol Flynn brilliant actor dads favourite actor grew watching his films child  	1
But wasn't until watched film  realised great actually  	1
I'll give film 10 10   	1
know  Jim O'Connor energetic  nobody could much him but George well dull  	0
He really didn't seem want hosting; his voice-overs were monotonous didn't get involved guests  	0
Lovely little thriller from Hitchcock lots nice shenanigans surrounding murdered spy kidnapped child nasty church foreign plot some random taxidermists  	1
Jimmy Stewart ever great hero Hitchcock story rips along its cool climax embassy function but lacks brooding menace Hitchcock's black white low-budget original  	1
Nevertheless yet another wonderful film from great master's stable  	1
say  film excellently produced tops ratings typical sci fi film   	1
Excellently produced by Sci-fi's best producers Scot Vandiver    	1
But entertaining nonetheless  	1
campy sort film 's joy watch  	1
There's barely boring moment film plenty humorous parts  	1
cast always entertaining usual  	1
Overall delight   	1
movie so mind-bendingly awful couldn't even been created  	0
film lacks any real scares or tension & some medical terminology used throughout bit iffy say least & say  insulin dependant diabetic myself  	0
least said acting better  	0
movie does excellent job revealing complexity task incredible challenges facing South Africa  	1
believe every should see movie think few people outside South Africa understand its past what being attempted Truth Reconciliation process  	1
Nothing short magnificent photography cinematography film  	1
acting fantastic stories seamlessly woven together dogs splendid A must rent view or see  	1
Don't afraid subtitles its worth little aversion therapy 10 10  	1
Excellent performance  	1
There still good actors around   	1
Also great directing photography  	1
Very true Shakespear 'must' Shakespear fans  	1
Macbeth (Jason Connery) moved tears his final monolog (out brief candle out)He gave sphere moral decay dark forces human face which makes more interesting  	1
Helen Baxendale credible lady Macbeth can cheerfull times sometimes just looks like naughty girl but deadly her taste blood evil  	1
If love death decay Shakespears lyrics  	1
witty delightful adaptation Dr Seuss book brilliantly animated by UPA's finest thoroughly deserving its Academy Award  	1
Special mention should made superb music score sound effects which integral element helping make such memorable enjoyable cartoon  	1
However Paul Schrader indeed made film aboutMishima  both superb & complex  	1
Also notable John Bailey's fine crisp beautifully colored cinematography great production design & costumes by Eiko Ishioka went do memorable costumes Coppola's Dracula which received well deserved Oscar  	1
Even allowing poor production values time (1971) format (some kind mini-series) baaaaaad  	0
Unless you're just visually collectall extant films Austen's work can skip  	0
If do watch it however small consolations: actresses playing Anne's sisters do wonderful job their roles  	1
not good  	0
Speaking music unbearably predictably kitchy  	0
Then film just dropped ball  	0
stunning movie  	1
Raw sublimely moving  	1
felt like gripping intelligent stage play (but without overly theatrical feeling actually gets from watching people stage) which plays everyone's terror white lie escalating monstrous consequences  	1
All main players mesmerising  	1
Tom Wilkinson broke heart end everyone else's judging by amount fumbling hankies hands going faces among males females alike  	1
Julian Fellowes triumphed again  	1
He's national treasure  	1
GO SEE IT   	1
an excellent film  	1
aerial scenes were well-done  	1
was also right balance war love  	1
film gives meaning phrase Never history human conflict so much been owed by so many so few  	1
Kris Kristoffersen good movie really makes difference  	1
A good film by great director   	1
definitely better documentaries seen looking family relationships marriage  	1
There many continuity errors: other user commented different cars garage Joe's glassesthe  got fact Joe's facial hair configuration seemed change from scene scene  	0
just great movie  	1
10 10 stars  	1
can't see movie can inspiration anyone come or overcome fear rejection  	0
so bad actually worth seeing just  reason  	0
Punishment Park brilliant piece cinema  	1
Shot Southern California desert using his patent faux documentary style Watkins creates film like no other  	1
Peter Watkins accessible films  	1
advise look it  	1
wont regret it   	1
Highly recommended A+  	1
Well Just if keep thinking bad  	0
mediocre miserable hollow laughable predictable piece garbage  	0
case 'so bad laughable'  	0
) bad performance plays Angela Bennett computer expert home time  	0
a film nothing just pretext show ridiculous action scenes  	0
How awful   	0
But still bad actress repeating her robotic face moves her pictures  	0
results well shame  	0
DELETE film from your mind   	0
One worst shows time  	0
show would begin smart ass ed comments other  would totally wall uncalled for  	0
fat computer geek unbelievable bible thumper bad-ass girl actors???  	0
Never heard any them except Cole totally unbelievable part  	0
Every time opened his mouth expect hear see kidsPulling plug mercy killing horrible show  	0
stories were unbelievable actors  	0
Lame would best way describe it  	0
Stanwyck Morgan perfectly cast what many ways modern equivalent Dickens' Christmas Carol its sensibility  	1
success film depends casting Sydney Greenstreet Alexander Yardley character  	1
attractive set used throughout film eye-pleasing gem  	1
Im big fan RPG games but movie its disgrace any self-respecting RPGer  	0
lines cuts audio everything wrong  	0
can find better movies youtube  	0
Top line: Don't waste your time money its bad comes  	0
A Lassie movie which should been put sleep FOREVER  	0
That's I'd describe painfully dreary time-waster film  	0
So mediocre every aspect  just becomes dull uninteresting mess forgettable movies I've seen  	0
isn't even achievement so-bad-it's-goodor so-bad-it's-memorablemovie  	0
empty hollow shell movie  	0
Seriously not worth wasting your or your kid's time  	0
Avoid avoid avoid   	0
will drive barking mad   	0
transfers good  	1
Very nice relaxing late night viewing  	1
movie full wonderful dancing (hence title   	1
) some great music terrific scenery  	1
handles some tough issues dignity grace course (shocking spoiler here   	1
) happy wonderful feel good ending   	1
point journey journey  touches every member family  	1
movies need see whenever comes TVnever mind fact  already memorized   	1
Nothing new  	0
done second movie  	0
movie almost no action scenes little comedy  	0
plot more holes pair fishnet stockings direction editing astonishingly ham fisted  	0
What earth Irons doing film?  	0
just saw film recommend it  	1
a good plot holds your complete attention acting superb Tom Wilkinson fantastic Emily Watson also good  	1
A good film indeed great unconditional love  	1
Tom Wilkinson's character man not prepared ordeal  begin but takes matter hand story progresses great actor gives performance  makes feel character's anguish suffering  	1
Emily Watson's character strong only give quick glance understand everything  	1
Despite pans reviewers liked movie  	1
In fact liked better Interview Vampire liked Lestat (Stuart Townsend) better Cruise's attempt  	1
Aailiyah pretty good Akasha places compelling (her first entrance mini dance scene)  	1
I'm big fan series mostly due Anne Rice's style sensitivities treatments  	1
guess liked details his dysfunction--he believable  	1
football scenes end were perplexing  	0
But thought his acting skilled  	1
Meredith M better right  	1
A charming film wonderful sentiment heart  	1
rare film-maker takes time tell worthy moral tale care love  doesn't fall trap being overly syrupy or over indulgent  	1
Nine ten truly lovely film  	1
early film from future goremeister Lucio Fulci good addition giallo sub-genre  	1
best Italian thrillers early 70's  	1
A standout scene  	1
scene strong unpleasant  	0
Technically film well made impressive camera-work solid acting effective music from Riz Ortolani  particularly good recurring unaccompanied female vocal  sounds like coming from distant hill  	1
still wild stuff though highly recommended fans giallo cinema  	1
movie interesting from beginning end  	1
liked way Dustin Hoffman's character ready do just everything stay his son  	1
movie also revealing  	1
Personally think shows  people should learn find compromise them self without involving other people issue  	1
And boring  	0
am so tired clichés  just lazy writing here they come thick fast  	0
PS only scene movie  cool central character finds her room blown  	1
fresh subtle rather sublime effect  	1
An Italian reviewer called small great filmand 's right  	1
All actors give wonderful performance especially Jennifer Rubin Jamie Harris changes from nervous starlet beginning through strange events part cool star  	1
learn lot real inside emotions people movie lot movie business itself  	1
movie movie situations beginning through game  played her by acting coachare fascinating  	1
Also music by Mark Snow possibly best score I've ever heard  	1
won't forget movie   	1
Why film made?  	0
film ultra-cheap look it  	0
result film  just don't look right  	0
None them engaging or exciting  	0
plot nonsense  doesn't interest slightest way or any uniqueness it  	0
Foreigner not worth second your time  	0
saw child TV back 1973 Strangerand loved it  	1
But duet between astronaut his doctor beginning movie perfect exchange if considers  movie made well Cold War astronaut's biggest fear  crashed USSR  	1
movie so awesome   	1
loved it really scary  	1
love Scream movies horror movies ranks way  	1
If want real scare rent   	1
10 10  	1
an extraordinary film  	1
As courtroom drama compelling indictment American justice system frightening  	1
film highlights fundamental flaws legal process  not discovering guilt or innocence but rather presents better court  	1
film well paced understated best courtroom documentaries I've seen  	1
mostly routine fact-based TV drama gets boost from fine performance by Cole  	1
Predictable but not bad watch  	1
was clear  range ability pull part  	1
She carries movie well  	1
Constantine gives everything right intensity seems good understanding underlying psychological motivations  	1
wonderful inspiring watch hope  gets released again video or DVD  	1
How piece trash ever released beyond me: acting story characters supposedly special effects etcit's wrong  	0
In fact stinker smells like direct-to-video release  	0
Avoid costs   	0
Star Trek V final Frontier worst series  	0
acting from involved  includes those like Shatner Nimoy bad washed making them seem old they look real life special effects tacky like Spock rescue Kirk jet pack falls down from mountain  	0
attempts humor were pitiful story so awful dosen't bear thinking which basically involves Vulcan stealing Enterprise find god (seriously) just didn't care any film oh not mention Uhura does belly dance distract male guards  	0
only place good film garbage  	0
worst series  	0
Editing: editing film phenomenal opinion  	1
When song could explain emotions subjects better such Jay Adams' unfortunate life subject talk song Old Man by Neil Young played which evokes many emotions  	1
Cinematography: film shot interesting way  	1
Of course footage from 70s grainy but  only enhanced film  	1
film offers many delights surprises  	1
When Achille Philippa beautifully sing duet from Don Giovannithat perfectly describes their situation movie appreciate subtle layers excellent film  	1
story unfolds 18th century Jutland use period music played period instruments just more fine touch  	1
share General Loewenhielm's exquisite joy his partaking Cailles en Sarcophage even though just watching movie but do wish just small sample savor  	1
But understated film leaves lasting impression  	1
warmth generates contrast its austere backdrop  	1
will leave theater wanting dance under stars  	1
acting you'd expect from cast top notch  	1
characters fleshed surprisingly well particularly Grimes Blake actors deliver their sharply scripted lines just right amount deadpan tongue cheek make dialogue both hilarious realistic  	1
Angus Scrimm also turns good performance somewhat brief but memorable role gently menacing violin-playing anatomist Doctor Quinn  	1
Conclusion loved it  	1
long time since so entertained by movie  	1
struggle find anything bad say it  	1
Mark words those cult films like Evil Dead 2 or Phantasm  people will still discovering falling love 20 30 40 years down line  	1
pretty surprising  wonderful film made 1949 Hollywood generally its collective heads sand concerning black white issues  time  	1
film deserves strong kudos taking stand having exceptional acting from its mostly lesser-known cast super-intelligent script  doesn't insult audience or take easy way comes white racism  	1
Plus movie's rather modest budget fast running time does amazing job   	1
Juano Hernandez (an exceptional actor played supporting roles many films era) proud black man accused murdering white man South  	1
Trumbull LOVE LUCY)  	1
See your kids if chance--it will open some amazing dialog far race relations come last 50 years  	1
See both films if can  	1
was  year however  reminded us  Huston still top his game evinced by his faithful adaptation James Joyce's acclaimed novella Dead  	1
Feelings thoughtsGabriel's discomfort during danceall intangibles leap life come within viewer's grasp Huston's portrayal  	1
Very disappointed wondered could Oscar shortlist  	0
slow  	0
Lot holes plot: there's nothing became emperor; nothing where spend 20 years between his childhood mature age  	0
) Don't waste your time  	0
End Days worst big-budget action movies I've ever seen  	0
He surely doesn't know make coherent action movie from screenwriter Air Force only obliged write script just big sum money  	0
was worst films ever seen  	0
I'm still trying get over bad  	0
movie possibly creative works horror ever  	1
everything could want suspense drama comedy confusing subplots native americans brain eating If you're looking be-all end-all brainsucking movies look no further  	1
With great sound effects impressive special effects can't recommend movie enough  	1
Call nut but think best movies ever  	1
Great character actors Telly Savalas Peter Boyle  	1
1 hour 54 minutes sheer tedium melodrama horrible acting mess script sinking feeling GOOD LORD WHAT WERE THEY THINKING?  	0
Lots holes script  	0
like bad two hour TV movie  	0
Now imagine  every single those decisions made wrong  	0
dialogue atrocious  	0
acting beyond abysmal  	0
Everything stinks  	0
Trouble writing directing make impossible establish those things  make movie watchable like character story theme so  	0
Worse there's incredibly weak sub-plot thrown  follows little band latter-day Mansonites they after reporter who's working story anniversary killings  	0
dumb pointless complete waste time  	0
In short don't bother movie  	0
won't spoil it but ending pretty amazing  	1
best scene movie end but won't spoil it  	1
If ever indication writer director's ability meld two highly volatile temperaments seamless union creativity it   	1
result powerhouse achievement made more timely now perhaps because our culture's disturbing fascination celebrity distorted interpretations fame  	1
A film not easily forgotten  	1
But Kevin Spacey excellent verbal tsunami Buddy Ackerman  totally believable because great actor  	1
scripting subtle comedy unmatched by any movie recent years  	1
characters interesting even if bit predictable  	1
Highly recommended ages although younger set will probably not appreciate some more subtle references they will certainly appreciate galley scene particular   	1
Great movie   	1
Also story acting were weak  	0
At around 4 pm bought it around 8pm started watch around 815pm fast forwarded remaining film see if anything left watchable human being brain but wasn't  	0
Either way sucks  	0
script horrendously stupid  	0
story starts fast absolutely no suspense or build-up slightest  	0
Everything Captain Howdy says either laughable or just plain stupid  	0
What hell kind crap ?   	0
Then there's plot holes  	0
could drive semi truck holes   	0
Linda Cardellini only thing good film  	1
She's poised amazing  	1
Dee Snider just plain sucks  	0
He can't act (one least scary villains ever seen) can't write (did write damn movie his sleep?  	0
bored throughout whole damn thing  	0
acting sucks music sucks script sucks pacing sucks special FX suck directing sucks basically movie sucks  	0
film tries serious sophisticated thriller horror flick fails miserably  	0
probably least effective utterly unoriginal films ever seen entire life  	0
A piece cinematic garbage captured celluloid  	0
Avoid any costs  	0
At any rate film stinks its not funny Fulci should stayed giallo supernatural zombie movies  	0
Avoid film costs  	0
don't know what happened Season Five what mess  	0
only consistent thread holding series together were amazing performances Leni Parker Anita LaSelva two Taelons quiet idealogical conflict  	0
Now movie really dislike  	0
boring Horror movies from 90's mainly because starts slow centers boring atmosphere  	0
puppets look really cheesy  not good way like Puppet Master 80's flicks  	0
story lame not interesting NEVER really explains sinister origins puppets  	0
There aren't death scenes like previous movies f x terrible  	0
felt asleep first time watched it so can recommend insomniacs  	0
fact film wonderful heartwarming tale two people chasing their dreams  	1
best part Nurse Bettyis unpredictability  	1
Director Neil LaBute uses brutal violence seperate dreams from reality along touching drama hilarious comedy can never tell what going happen next  	1
Otherwise don't even waste your time  	0
just fails create any real suspense  	0
As killer don't expect anything original or even remotely frightening  	0
There however some pretty good acting (at least type film)  	1
I'm so sorry but really can't recommend anyone  	0
One boringpointless movies ever seen  	0
secondary plot line incomprehensible its relation primary plot line mystifying  	0
Hated it  	0
worst Sandra Bullock movie since Speed 2 But not quite  bad  	0
don't understand garbage got shelves movie store not even real movie   	0
highly doubt  anyone could ever like trash  	0
not movie-making  	0
acting like watching wooden puppets moving around reading from book 's bad  	0
So am here warn you--DO NOT RENT MOVIE dumbest thing never seen   	0
saw short film HBO other day absolutely loved it  	1
didn't realize wonderful short really until last two scenes  	1
Excellent short film  	1
Hopefully director James Cox can turn short feature length film same cast or win us over whole new film  	1
agree Jessica movie pretty bad  	0
Characters one-dimensional even good guys especially bad guys  	0
story line totally predictable  	0
Not much dialogue not much music whole film shot elaborately aesthetically like sculpture  	1
I've seen soap operas more intelligent movie  	0
Bad characters bad story bad acting  	0
Really awful  	0
Not easy watch  	0
Funny clever hip just like Pray's previous film Hype   	1
was long time  didn't see so charismatic actor screen  	1
Paolo Sorrentino written wonderful story loneliness Tony built unforgettable characters seen movies recent years  	1
movie not completely perfect but 'Titta Di Girolamo' will stay long time after vision movie  	1
rate movie 9 10  	1
do not know if Emilio Estevez's directorial debut but pacing interplay development characters well some clever camera work surrounding character Estevez plays suggest natural eye  	1
interplay between Martin Emilio contains same wonderful chemistry saw Wall Street Martin Charlie  	1
Kathy Bates wonderful her characters subtle desperation escapism; variation her character Play Fields Lord  	1
For readers already seen Miyazaki's films: still top form made another worthwhile experience  	1
never condescends characters good genuine hearts believable problems  	1
two main characters may two believable children ever saw put screen  	1
They so easy love but even more easy identify  	1
movie great--especially if enjoy visual arts  	1
scenery  two daughters paint photograph beautiful  	1
story also both funny poignant times  	1
People like European films art movieswill like movie  	1
truly art movie--it actually lot art it  	1
Go rent it  	1
However after finally watching film realized  not only had closed mind brilliance depicts also found myself watching over over again  	1
movie  never ceases interestsimply because keeps alert try attempt decipher meanings  	1
Brilliance indeed  	1
But if liked movies like Matrix (and better yet their sequels) think you'll appreciate thought provoking mindblowing experience film will give  	1
Think film being like dream  	1
Simply beautiful  	1
Both Rickman Stowe play their roles hilt tale childrens' book writer who maybe ? written subversive tract  	1
gloriously fun fast paced fairly accurate portrayal night raver  	1
presents idyllic yet serious portrayal ups downs characters lives  	1
Just whatever do avoid Grooveas its antithesis  good Human Traffic  	0
bad  everyone else involved didn't share Crowe's level dedication quality if they did we'd far better film our hands sub-par mess  	0
movie seemed little slow first  	0
But picked speed got right point  	1
showed exactly government scientist argued humanity reasons gadget  	1
enjoyed it  	1
recommended friends  	1
particularly pleased acting ability Dwight Schultz  	1
Both actors truly understand become their particular character delivering convincing sincere performance  	1
Their on-screen chemistry critical entire film genuine  	1
film's dialogue natural real life  	1
writer Gorman Bechard undoubtedly his homework because references industry character-age appropriate  	1
incredible soundtrack truly captures essence film  	1
Each track commands sentiment actually contributing scenes characters  	1
Definitely worth seeing sort thought provoking film  forces question your own threshold loneliness  	1
Hayao Miyazaki's latest eighth film Studio Ghibili Gake No Ue No Ponyo(Ponyo Cliff by Sea) wonderfully fun imaginative look childhood  	1
At time seems  film animation been dominated by Disney Pixar's CGI masterpieces both refreshing comforting know  Miyazaki still relying traditional hand-drawn animation tell his charming enchanting stories  	1
Enough can not said remarkable animation film  	1
art style appearance crayon pencil drawings wonderfully colorful fanciful  	1
If act such film should glad  you're gonna drift away from earth far possible   	0
wants surf small wave space movies 1998 (Deep Impact Armageddon) fails everywhere  	0
If haven't choked your own vomit by end (by cheap drama worthless dialogue) you've must bored yourself death waste time  	0
Still makes super ending  depicts great sea vessel being taken by mighty frost  	1
Just consider excellent story solid acting look film added bonuses  	1
Instead got bore fest whiny spoiled brat babysitting  	0
Then watched again two Sundays ago (March 20th 2005) began really enjoy time taped entire thing  	1
a well acted done TV Movie  	1
Judith Light favorite actresses think does superb job film   	1
keep watching over over  	1
sad movie but good  	1
If not seen movie definitely recommend it   	1
She lovely usual cutie   	1
Still quite interesting entertaining follow  	1
;) Recommend confidence   	1
movie well-balanced comedy drama thoroughly enjoyed myself  	1
was riot see Hugo Weaving play sex-obsessed gay real estate salesman uses his clients' houses his trysts flaming Darren (Tom Hollander)  	1
:) Anyway plot flowed smoothly male-bonding scenes were hoot  	1
opening sequence gem classic cat n mouse games  follow delight watch  	1
Fans genre will heaven  	1
Lange become great actress  	1
looked like wonderful story  	1
never walked movie faster  	0
just got bored watching Jessice Lange take her clothes   	0
Unfortunately any virtue film's production work lost regrettable script  	0
In word embarrassing  	0
Exceptionally bad   	0
All its insult one's intelligence huge waste money  	0
So no way plug here US unless by converter	0
Good case Excellent value	1
Great jawbone	1
Tied charger conversations lasting more 45 minutesMAJOR PROBLEMS  	0
mic great	1
jiggle plug get line right get decent volume	0
If several dozen or several hundred contacts imagine fun sending them by one	0
If Razr owneryou must 	1
Needless say wasted money	0
What waste money time 	0
And sound quality great	1
He impressed going from original battery extended battery	1
If two were seperated by mere 5+ ft started notice excessive static garbled sound from headset	0
Very good quality though	1
design odd ear clipis not comfortable all	0
Highly recommend any blue tooth phone	1
advise EVERYONE DO NOT FOOLED 	0
So Far So Good 	1
Works great 	1
clicks place way  makes wonder long  mechanism would last	0
went Motorola's website followed directions but could not get pair again	0
bought use Kindle Fire absolutely loved it 	1
commercials misleading	0
yet run new battery below two bars 's three days without charging	1
bought mother problem battery	0
Great Pocket PC combination	1
I've owned 7 months now can say  best mobile I've had	1
didn't think  instructions provided were helpful me	0
People couldnt hear talk pull earphone talk phone	0
Doesn't hold charge	0
simple little use but breakage unacceptible	0
product ideal people like whose ears sensitive	1
unusable moving car freeway speed	0
two more years left contract hate phone	0
Car charger well AC charger included make sure never run juiceHighy recommended	1
need least 3 mins get your book from time first turn phoneBattery life short	0
kept well	1
Poor Talk Time Performance	0
case great works fine 680	1
worthless product	0
a great camera s 2MP pics nice clear great picture quality	1
not impressed by product	0
Nice headset priced right	1
only hear garbage audio	0
Excellent bluetooth headset	1
features want	1
Who their right mind gonna buy battery?	0
AFTER ARGUING VERIZON REGARDING DROPPED CALLS WE RETURNED PHONES AFTER TWO DAYS	0
case seems well made	1
Disappointed battery	0
Not loud enough doesn't turn like should	0
good protection does not make bulky	1
A usable keyboard actually turns PDA real-world useful machine instead just neat gadget	1
phone pretty sturdy I've never any large problems it	1
love thing 	1
Everything fine reasonable price ie	1
VERY DISAPPOINTED	0
even dropped stream submerged 15 seconds still works great 	1
been happy 510 NO complaints from any regarding sound quality their end	1
buttons bad	0
Essentially can forget Microsoft's tech support	0
really recommend faceplates since looks nice elegant cool	1
These headphones were great find think they perhaps best purchase I've made last several years seriously	1
Buy different but not this	0
hold particular angle other party hear clearly	0
one big drawback MP3 player  buttons phone's front cover  let pause skip songs lock after few seconds	0
A week later after activated it suddenly died	0
feels more comfortable headsets because wear glasses  gets way sometimes	1
Great iPODs too	1
device great several situations:1)	1
Mic Doesn't work	0
Even BMW 3 series which fairly quiet trouble hearing what other person saying	0
